TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,37,48,0,0,17,46,9,0,0,7,88,40,67,0,0,0,20,9,6,1,0,0,0,4,0,25,18,27,3,6,10,0,0,0,1
CD,43,16,21,0,0,91,12,1,3,0,9,108,151,36,0,0,0,4,4,7,0,0,0,0,12,0,1,14,4,4,0,6,2,0,0,5
DT,0,26,0,0,0,19,495,7,30,0,2,1040,87,156,1,0,0,0,1,21,3,12,0,0,0,0,0,0,18,11,4,12,2,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,7,102,704,6,0,28,280,13,8,0,0,322,203,549,0,2,0,48,152,42,0,0,0,0,5,0,2,3,137,5,0,0,4,4,0,1
JJ,18,111,10,0,0,96,151,1,2,0,0,752,376,106,0,0,0,6,0,9,0,2,0,0,45,0,1,8,14,5,1,1,0,0,0,2
JJR,4,0,0,0,0,33,5,0,0,0,0,23,23,1,0,0,0,0,1,1,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0
JJS,0,1,0,0,0,11,7,0,0,0,1,41,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0,0,0,0,1,0,277,0,0,0,0,0,0,0,0,0
NN,155,38,184,4,0,1060,39,7,1,0,68,520,369,246,0,0,73,59,9,102,10,0,2,0,178,0,13,191,69,59,3,157,78,16,0,8
NNS,126,2,117,5,0,495,48,7,1,0,53,40,44,115,0,0,11,33,3,76,7,0,2,0,96,0,19,183,60,46,100,13,54,13,0,7
NP,98,95,154,1,0,148,62,2,1,0,47,247,116,931,55,0,203,50,6,50,3,0,1,0,36,0,6,302,20,33,13,109,24,6,1,7
