TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,20,95,4,0,54,96,0,0,0,8,90,31,92,0,0,2,46,19,50,0,0,0,0,14,0,36,50,9,17,7,14,3,3,1,2
CD,24,38,29,0,0,55,38,4,0,0,4,93,188,47,2,0,0,15,0,7,0,1,0,0,9,0,0,6,7,9,4,4,0,3,0,4
DT,0,59,2,0,2,7,859,14,23,0,3,1356,156,250,9,0,0,2,0,20,5,13,0,0,0,0,0,1,26,28,3,21,1,10,0,0
EX,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,22,0,0,0,0
FW,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,6,166,1260,7,0,43,281,15,13,0,0,332,142,955,2,7,0,130,99,31,1,0,0,0,6,0,0,1,113,1,0,1,16,12,1,6
JJ,78,29,22,0,0,123,262,0,0,0,1,1215,420,237,0,0,0,22,0,15,0,0,0,0,61,1,0,4,8,1,2,1,0,4,0,3
JJR,0,3,0,0,0,22,4,0,0,0,0,20,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,5,1,0,0,16,7,0,0,0,1,12,14,5,0,0,0,0,0,1,0,1,0,0,2,0,0,2,2,1,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,6,0,91,0,0,0,0,0,0,371,2,0,0,0,0,0,0,0,0
NN,279,23,188,8,0,1406,143,2,1,0,108,418,163,348,0,0,78,128,8,107,6,4,2,0,243,0,5,228,70,83,15,166,60,29,1,23
NNS,129,5,63,5,0,516,49,0,0,0,34,34,16,54,1,0,12,48,1,76,0,0,4,0,80,0,10,119,59,46,74,16,17,28,1,16
NP,156,128,140,1,2,382,70,0,2,0,104,177,123,1525,21,0,380,60,4,44,2,0,0,0,78,0,6,398,34,11,20,207,18,29,7,23
NPS,0,1,2,0,0,4,1,0,0,0,0,1,0,9,0,0,2,1,0,1,0,0,0,0,0,0,0,5,0,0,6,1,1,1,0,0
PDT,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
