TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,24,103,8,0,23,48,5,0,0,12,89,29,94,0,0,0,53,2,16,0,0,0,0,2,0,27,30,20,19,11,26,1,4,0,5
CD,31,228,26,0,0,99,24,0,0,0,6,250,285,34,0,0,0,6,2,7,0,0,0,0,14,0,1,12,4,7,0,2,4,0,0,2
DT,0,101,2,0,0,13,496,12,12,0,7,1120,138,203,3,0,0,4,0,15,5,4,0,0,0,0,0,6,18,7,1,17,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,16,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,1,276,933,7,0,41,199,11,8,0,0,320,171,392,0,6,0,72,102,26,0,0,0,0,2,0,0,0,96,14,0,0,3,8,0,3
JJ,19,53,8,2,0,82,99,3,4,0,0,715,253,61,0,0,0,19,1,16,0,0,0,0,48,0,0,4,15,4,1,1,0,0,0,0
JJR,1,0,0,0,0,22,9,0,0,0,0,25,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,1,3,0,0,2,2,0,0,0,0,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,43,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0
NN,283,91,147,7,0,1027,57,2,0,0,90,674,302,216,0,0,34,127,10,72,13,0,3,0,150,0,14,231,91,53,6,181,70,4,0,13
NNS,141,6,76,1,0,455,40,5,0,0,53,104,24,61,0,0,6,46,6,51,6,0,0,0,50,0,3,120,58,35,124,5,23,2,0,6
