TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,33,82,11,0,26,102,11,2,0,6,148,90,101,0,0,0,36,5,42,2,0,0,0,3,0,23,29,17,11,10,14,0,3,0,2
CD,47,139,36,2,0,84,61,1,3,3,1,382,339,111,0,0,0,17,0,7,0,0,0,0,32,0,0,23,17,7,2,6,2,0,0,2
DT,1,81,0,0,0,9,363,14,14,0,4,888,159,172,0,0,0,1,0,20,2,2,0,0,1,0,0,6,16,17,4,9,1,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,10,31,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,3,352,723,8,0,51,300,34,22,0,1,493,223,588,0,0,0,42,52,58,3,0,0,0,9,0,1,2,109,16,0,1,5,9,0,4
JJ,58,55,14,4,0,115,132,0,5,0,1,698,414,109,0,0,0,14,1,12,0,1,0,0,46,0,0,19,10,2,1,3,0,1,0,0
JJR,7,5,2,0,0,40,9,0,0,0,0,44,25,6,0,0,0,1,0,0,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0
JJS,0,9,3,0,0,7,2,0,0,0,0,25,15,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,284,0,0,1,0,0,0,0,0,0
