WilliamKazer,58312newsML.txt,BenjaminKangLim,JanLopatka,WilliamKazer,MureDickie,JaneMacartney
WilliamKazer,480381newsML.txt,BenjaminKangLim,FumikoFujisaki,JanLopatka,MureDickie,MarkBendeich
WilliamKazer,462169newsML.txt,BenjaminKangLim,DavidLawder,MureDickie,SarahDavison,FumikoFujisaki
WilliamKazer,395790newsML.txt,BenjaminKangLim,MureDickie,WilliamKazer,AaronPressman,ScottHillis
WilliamKazer,49404newsML.txt,DavidLawder,BenjaminKangLim,JonathanBirt,FumikoFujisaki,EricAuchard
WilliamKazer,456140newsML.txt,BenjaminKangLim,JaneMacartney,AaronPressman,MureDickie,ScottHillis
WilliamKazer,417666newsML.txt,MureDickie,BenjaminKangLim,WilliamKazer,ScottHillis,AaronPressman
WilliamKazer,323194newsML.txt,FumikoFujisaki,JaneMacartney,TimFarrand,MureDickie,WilliamKazer
WilliamKazer,316238newsML.txt,FumikoFujisaki,AaronPressman,EricAuchard,MureDickie,TimFarrand
WilliamKazer,464888newsML.txt,BenjaminKangLim,MureDickie,DavidLawder,WilliamKazer,FumikoFujisaki
WilliamKazer,504283newsML.txt,MureDickie,FumikoFujisaki,ScottHillis,WilliamKazer,PierreTran
WilliamKazer,46254newsML.txt,MureDickie,BenjaminKangLim,AaronPressman,WilliamKazer,JaneMacartney
WilliamKazer,391142newsML.txt,AlexanderSmith,AaronPressman,MarcelMichelson,KeithWeir,ScottHillis
WilliamKazer,522090newsML.txt,DavidLawder,FumikoFujisaki,MatthewBunce,MureDickie,PierreTran
WilliamKazer,467718newsML.txt,BenjaminKangLim,DavidLawder,FumikoFujisaki,JanLopatka,ScottHillis
WilliamKazer,401033newsML.txt,JanLopatka,MarcelMichelson,BenjaminKangLim,AaronPressman,TanEeLyn
WilliamKazer,473642newsML.txt,BenjaminKangLim,MureDickie,AaronPressman,WilliamKazer,DavidLawder
WilliamKazer,491019newsML.txt,FumikoFujisaki,WilliamKazer,MureDickie,TimFarrand,DavidLawder
WilliamKazer,402543newsML.txt,TanEeLyn,BenjaminKangLim,DavidLawder,PeterHumphrey,MarcelMichelson
WilliamKazer,352827newsML.txt,MureDickie,WilliamKazer,BenjaminKangLim,AaronPressman,JaneMacartney
WilliamKazer,416243newsML.txt,FumikoFujisaki,DavidLawder,SarahDavison,MureDickie,WilliamKazer
WilliamKazer,444197newsML.txt,BenjaminKangLim,EricAuchard,KevinMorrison,MarcelMichelson,DavidLawder
WilliamKazer,396207newsML.txt,DavidLawder,BenjaminKangLim,FumikoFujisaki,JanLopatka,DarrenSchuettler
WilliamKazer,466101newsML.txt,BenjaminKangLim,TanEeLyn,DavidLawder,ScottHillis,AaronPressman
