author;term;criterion;termFrequency
AaronPressman;internet;2.5911467519874;0.010701165947932
AaronPressman;web;0.43783031295618;0.0012245115263802
AaronPressman;site;0.4002618793538;0.0011712718947985
AaronPressman;law;0.53939064096118;0.002342543789597
AaronPressman;information;0.43512106673314;0.0018633871053612
AaronPressman;federal;0.7912277527995;0.003194377894905
AaronPressman;commission;0.42319131612476;0.0018633871053612
AaronPressman;sites;0.44704084631701;0.0011712718947985
AaronPressman;access;0.62339551310639;0.0025022626843422
AaronPressman;computer;0.51552656701899;0.0022893041580152
AaronPressman;online;0.91960766607817;0.0026619815790875
AaronPressman;commerce;0.59429322148716;0.0018633871053612
AaronPressman;software;0.47230032441888;0.0017569078421977
AaronPressman;association;0.530564496594;0.0018633871053612
AaronPressman;proposal;0.49310912644971;0.0016504285790342
AaronPressman;addresses;0.56850762509379;0.001064792631635
AaronPressman;committee;0.624285744089;0.002342543789597
AaronPressman;names;0.54556785668705;0.0015439493158707
AaronPressman;heath;0.40683472397068;0.00069211521056274
AaronPressman;companies;0.5610925326932;0.0051110046318479
AaronPressman;products;0.4534259845071;0.002555502315924
AaronPressman;court;0.85420287274357;0.0035670553159772
AaronPressman;domains;0.49629516837743;0.00079859447372624
AaronPressman;authority;0.42218944111678;0.0011712718947985
AaronPressman;members;0.43435265859049;0.0018633871053612
AaronPressman;laws;0.57054529447931;0.0018633871053612
AaronPressman;policy;0.67793172211548;0.002768460842251
AaronPressman;regulation;0.54605093245632;0.0014374700527072
AaronPressman;congress;1.3105998426562;0.004046212000213
AaronPressman;credit;0.98624590047772;0.0035138156843955
AaronPressman;act;0.52019147295161;0.001703668210616
AaronPressman;financial;0.44283480629928;0.003194377894905
AaronPressman;treasury;0.57590690242716;0.0013842304211255
AaronPressman;banking;0.62855416805681;0.0024490230527605
AaronPressman;banks;1.395250413317;0.0061225576319012
AaronPressman;rules;0.61009743172334;0.0022893041580152
AaronPressman;commodity;0.46079310540274;0.001064792631635
AaronPressman;futures;0.42672080784806;0.0011180322632167
AaronPressman;securities;0.50144420371445;0.0025022626843422
AaronPressman;supreme;0.54573419666723;0.0012245115263802
AaronPressman;amendment;0.58792109012003;0.001064792631635
AaronPressman;legislation;0.47445100101364;0.001277751157962
AaronPressman;currency;0.48294943586257;0.0016504285790342
AaronPressman;similiar;0.44798778924728;0.00085183410530799
AaronPressman;firms;0.40830165252584;0.001916626736943
AaronPressman;cftc;1.0282305781403;0.0015971889474525
AaronPressman;dunn;0.49110665254211;0.00090507373688974
AaronPressman;export;0.67320513761717;0.0024490230527605
AaronPressman;encryption;1.7073354972177;0.0034605760528137
AaronPressman;clinton;0.46149938563684;0.0013309907895437
AaronPressman;administration;0.72949748867867;0.0023957834211787
AaronPressman;recovery;0.44013753343229;0.0013842304211255
AaronPressman;draft;0.84358723266436;0.0020763456316882
AaronPressman;bank;0.47845134067003;0.002768460842251
AaronPressman;unions;0.69094529832842;0.0016504285790342
AaronPressman;reinsch;0.41750372699338;0.00069211521056274
AaronPressman;fed;1.0079334627052;0.00212958526327
AaronPressman;insurance;0.64535470359596;0.0021828248948517
AaronPressman;providers;0.44690491956607;0.0012245115263802
AaronPressman;phone;0.56428121857043;0.0018633871053612
AaronPressman;leach;0.56918281018411;0.0010115530000532
AaronPressman;legislators;0.45437357457776;0.0010115530000532
AlanCrosby;second;0.49759304264711;0.0034501642935378
AlanCrosby;czech;1.8445341779023;0.0065717415115005
AlanCrosby;spain;0.40049959536106;0.00098576122672508
AlanCrosby;match;0.87213334734104;0.0024096385542169
AlanCrosby;final;0.44678094169522;0.0018072289156627
AlanCrosby;czechs;0.72603316646132;0.0018072289156627
AlanCrosby;prague;1.153789351922;0.0037787513691128
AlanCrosby;game;0.42005059849858;0.0010952902519168
AlanCrosby;points;1.0682248003886;0.0041621029572837
AlanCrosby;pavel;0.55328119261955;0.0010952902519168
AlanCrosby;martin;0.66263010631141;0.002026286966046
AlanCrosby;week;0.62716934005394;0.0050383351588171
AlanCrosby;warsaw;0.64382649088729;0.0010952902519168
AlanCrosby;budapest;0.5616038948942;0.00093099671412924
AlanCrosby;bratislava;0.68067996696848;0.0010952902519168
AlanCrosby;bucharest;0.49304021323287;0.00087623220153341
AlanCrosby;zagreb;0.40840798018109;0.00065717415115005
AlanCrosby;ljubljana;0.64664596862005;0.0010405257393209
AlanCrosby;index;0.90904289314809;0.0032311062431544
AlanCrosby;cesi;0.44244197852951;0.00071193866374589
AlanCrosby;exchange;0.40434497629577;0.0023001095290252
AlanCrosby;little;0.42611673240196;0.0021358159912377
AlanCrosby;px50;0.48962017035986;0.00093099671412924
AlanCrosby;spt;0.84614479514608;0.0013143483023001
AlanCrosby;banka;0.74285673689494;0.0018072289156627
AlanCrosby;crowns;1.4494503396031;0.0038335158817087
AlanCrosby;market;0.50366453108751;0.0076122672508215
AlanCrosby;bourse;0.6648813564226;0.0015881708652793
